short_url,resolved_url,final_status
https://bit.ly/2ZOW4pL,https://www.printandaudio.org.uk/app/explore/resources/type/sermons/church/jesmond-parish-church/series/325/resource/3606/title/why-how-and-what-to-pray,403
https://bit.ly/2ZQsG20,https://www.printandaudio.org.uk/app/search/resources/from/02-02-2018/to/31-12-2018/time/pm/church/jesmond-parish-church/resource/3533/title/christianity-rules-or-relationship,403
https://bit.ly/2yHPaqc,https://www.printandaudio.org.uk/app/explore/resources/type/sermons/church/jesmond-parish-church/series/316/resource/3523/title/a-time-of-exile,403
https://bit.ly/2yI9jwl,https://www.printandaudio.org.uk/app/explore/resources/type/sermons/church/jesmond-parish-church/series/325/resource/3624/title/sharing-our-faith-in-jesus,403
https://bit.ly/31iB7nc,https://www.printandaudio.org.uk/app/explore/resources/type/sermons/church/jesmond-parish-church/series/100/resource/3587/title/fallen-humanity,403
https://bit.ly/31mW7t1,https://www.printandaudio.org.uk/app/explore/resources/type/sermons/church/jesmond-parish-church/series/311/resource/3486/title/where-to-keep-your-treasure,403
https://bit.ly/31mjgMe,https://www.printandaudio.org.uk/app/search/resources/name/jonathan-pryke/from/16-03-2019/to/31-03-2019/time/pm/church/jesmond-parish-church/resource/3691/title/the-cross-of-christ,403
https://bit.ly/31mlFXb,https://www.printandaudio.org.uk/app/explore/resources/type/sermons/church/jesmond-parish-church/series/232/resource/3496/title/davids-old-age,403
https://bit.ly/31nT0B1,https://www.printandaudio.org.uk/app/explore/resources/type/sermons/church/jesmond-parish-church/series/324/resource/3598/title/real-love,403
https://bit.ly/31o3nop,https://www.printandaudio.org.uk/app/explore/resources/type/sermons/church/jesmond-parish-church/series/325/resource/3613/title/sex-and-relationships,403
https://bit.ly/31q5jNu,https://www.printandaudio.org.uk/app/explore/resources/type/sermons/church/jesmond-parish-church/series/316/resource/3539/title/living-in-the-spirit,403
https://bit.ly/31qpVoO,https://www.printandaudio.org.uk/app/explore/resources/type/sermons/church/jesmond-parish-church/series/325/resource/3635/title/why-bother-serving-god,403
https://bit.ly/31v4yml,https://www.printandaudio.org.uk/app/explore/resources/type/sermons/church/jesmond-parish-church/series/318/resource/3568/title/can-you-be-trusted,403
https://bit.ly/33b5MEK,https://www.printandaudio.org.uk/app/explore/resources/type/sermons/church/jesmond-parish-church/series/100/resource/3574/title/the-judge-of-all,403
https://bit.ly/33iBksn,https://www.printandaudio.org.uk/app/explore/resources/type/sermons/church/jesmond-parish-church/series/232/resource/3474/title/davids-mighty-men,403
https://bit.ly/33j6DDu,https://www.printandaudio.org.uk/app/explore/resources/type/sermons/church/jesmond-parish-church/from/2019-06-26/to/2019-08-07/sort/date/direction/desc/resource/3742/title/revenge-or-generosity,403
https://bit.ly/33ju13K,https://www.printandaudio.org.uk/app/explore/resources/type/sermons/church/jesmond-parish-church/series/324/resource/3594/title/is-real-change-possible,403
https://bit.ly/33kCHXJ,https://www.printandaudio.org.uk/app/explore/resources/type/sermons/church/jesmond-parish-church/series/316/resource/3521/title/a-living-hope,403
https://bit.ly/33lc2K7,https://www.printandaudio.org.uk/app/explore/resources/type/sermons/church/jesmond-parish-church/series/326/resource/3648/title/where-to-look-when-god-seems-weak,403
https://bit.ly/33ly4wj,https://www.printandaudio.org.uk/app/search/resources/name/bishop-martin-morrison__martin-morrison/resource/3632/title/advent-carols,403
https://bit.ly/33mKft5,https://www.printandaudio.org.uk/app/search/resources/from/01-02-2019/to/25-05-2019/time/pm/church/jesmond-parish-church/resource/3680/title/why-follow-jesus-christ,403
